SubmissionId,LeadId,SubChannelId,SubChannelName,MarketingUnitId,MUName,TrackId,CampaignName,ClientRelationshipId,CountAgainstCap
13490029,16907413,15,Paid Search,28,Head Terms,22E37B91-D892-4BF2-904E-2BD70591EB89,ppc_google_ec_generic_headterm_customermatch_mpe,71,1
13490025,16907411,12,Online Partners,110,Best Online Universities,EFE21D11-3855-4B2B-9893-2A4C79C646BB,NursingAssistantGuides.com Directory - Jimmy Atkinson,8712,1
13490024,16907410,15,Paid Search,45,GradSchools,4F7B1F01-4928-4A4C-BAC7-93173885A634,ppc_google_gs_doctorate_desired,8409,1
13489956,16907347,15,Paid Search,22,Branded,5D88DB77-A2DA-4535-96D8-999E5C143A5D,ppc_google_ec_branded_xveriy,2,1
13489956,16907346,15,Paid Search,22,Branded,5D88DB77-A2DA-4535-96D8-999E5C143A5D,ppc_google_ec_branded_xveriy,8657,1
13489956,16907345,15,Paid Search,22,Branded,5D88DB77-A2DA-4535-96D8-999E5C143A5D,ppc_google_ec_branded_xveriy,22,1
13489954,16907344,15,Paid Search,217,Exclusive Prime,49DC1BCD-0563-425B-A91F-FE84589968DE,ppc_google_microsite_FTC_exclusiveprime_PurdueGlobal_xverify,8657,1
13489952,16907343,15,Paid Search,24,Degree,F4E91727-74AD-48CB-9C14-EFF9CE42B6BF,ppc_google_ec_degree_cna_new_loan_mpe_test,8712,1
13489951,16907342,20,Clicks,168,Clicks,2EB5AEF0-FB7E-4620-9C48-9CA0E9CBC050,post.degree.today_DMS,8680,1
13489949,16907341,15,Paid Search,24,Degree,F4E91727-74AD-48CB-9C14-EFF9CE42B6BF,ppc_google_ec_degree_cna_new_loan_mpe_test,8409,1
13489948,16907339,5,Traditional Display,222,MediaAlpha,C1FDC100-B95B-4636-B0D2-01DC6F0C5887,display_emd_mediaalpha_DMS_NM_healthcare_elder_mpe,8714,1
13489947,16907338,15,Paid Search,52,Generic,59BA958E-63BC-4217-AF9D-F563A4EE2CC8,ppc_google_ec_generic_phoTES,2,1
13489947,16907337,15,Paid Search,52,Generic,59BA958E-63BC-4217-AF9D-F563A4EE2CC8,ppc_google_ec_generic_phoTES,23,1
